ISLAND,SUBDIVISION,Pounds,Value,Permits,POPULATION,Pounds_Pop,Value_Pop,Permit_Pop,Engagement,Reliance,Engagement_T,Reliance_T
STJ,Central,112.500000000000,641.3175000000000,1.0,531.80000000000000,0.21,1.21,1.88,-0.69494,-0.49907,1.00,1.00
STJ,Coral Bay,349.000000000000,2112.6574000000000,1.4,706.00000000000000,0.49,2.99,1.98,-0.67629,-0.43095,1.00,1.00
STT,Charlotte Amalie,31583.886000000000,191246.1912420000000,11.0,15277.80000000000000,2.07,12.52,0.72,0.08353,-0.71128,2.00,1.00
STT,East End_T,15018.314000000000,80968.2942920000000,11.4,7682.20000000000000,1.95,10.54,1.48,-0.11562,-0.46358,1.00,1.00
STT,Northside,261731.166000000000,1026623.1597060000000,35.4,9121.00000000000000,28.70,112.56,3.88,3.19857,2.69676,4.00,4.00
STT,Tutu,5141.000000000000,28063.4098000000000,2.2,5476.60000000000000,0.94,5.12,0.40,-0.58979,-0.95323,1.00,1.00
STT,West End,12389.340000000000,67925.2269540000000,4.2,2038.60000000000000,6.08,33.32,2.06,-0.42720,0.16828,1.00,2.00
STX,Anna's Hope Village,50396.518000000000,288772.0928399990000,4.8,3433.80000000000000,14.68,84.10,1.40,0.05108,0.85292,2.00,3.00
STX,Christiansted,4899.800000000000,29809.8914000000000,5.0,2018.00000000000000,2.43,14.77,2.48,-0.47896,-0.04341,1.00,1.00
STX,East End_X,365.025000000000,2192.9683250000000,1.5,2359.40000000000000,0.15,0.93,0.64,-0.67218,-0.94924,1.00,1.00
STX,Frederiksted,6845.310000000000,34892.3940500000000,5.2,2460.60000000000000,2.78,14.18,2.11,-0.45523,-0.16260,1.00,1.00
STX,Northcentral,20378.886000000000,94260.9240000000000,9.4,4353.00000000000000,4.68,21.65,2.16,-0.15127,0.01982,1.00,2.00
STX,Sion Farm,8784.768000000000,53151.1090600000000,8.4,10866.20000000000000,0.81,4.89,0.77,-0.29803,-0.82914,1.00,1.00
STX,Southcentral,44885.600000000000,229139.4126000000000,8.6,7541.80000000000000,5.95,30.38,1.14,0.10157,-0.19588,2.00,1.00
STX,Southwest,108724.536000000000,639891.8491400000000,14.0,6173.20000000000000,17.61,103.66,2.27,1.12475,1.50060,4.00,4.00